lat,lng
47.880344,10.040342
42.710356,-73.819109
41.699048,-85.000326
59.426361,15.827083
35.486585,-120.666378
60.898649,7.210826
47.85229077,3.543402815
49.211936,9.077322
38.249149,-112.652524
45.734046,-108.604932
37.625618,-109.473842
33.443011,-112.556876
34.614555,-120.188432
36.070788,-79.511222
48.509771,-122.338627
46.729872,-122.977392
45.58693,4.787807
41.161085,-104.804955
29.690066,-96.537727
39.92646,-122.1984
40.683508,-80.108327
41.080103,-73.46135
41.067306,-73.504917
42.235962,-71.178212
44.737025,-122.152108
62.074665,9.127661
41.660517,-71.497242
44.77083,-91.43711
52.359241,7.264215
56.93193,12.51805
38.642291,-121.18813
37.492439,-121.944725
35.505278,-108.828094
32.943675,-112.734081
37.66976,-77.461414
39.552676,-107.340171
60.702333,8.986
39.326258,-101.725107
49.91157864,10.00140633
39.090758,-108.604325
38.993577,-110.140513
41.041538,-73.671661
41.040555,-73.673445
39.605859,-77.733324
38.90042611,-99.31856264
52.174537,11.493001
34.922962,-110.145558
22.274495,114.171429
30.716158,-95.565944
48.411054,10.44042
40.66319,-73.793192
22.306989,114.212648
51.570195,7.675267
59.381482,13.467294
35.191331,-114.065592
43.879042,-91.188428
36.165906,-115.138655
59.766259,10.257838
61.130464,10.434918
39.26937369,-103.7087172
46.052057,14.45315
55.766399,12.990671
46.832233,6.859269
42.75625,-104.45267
51.370996,9.633307
58.15652,7.10296
41.31361465,-81.5171092
46.346553,4.850173
43.12669,-89.306896
41.57833,-83.664593
43.795551,-90.059358
55.51074628,9.764323729
41.245823,-73.009059
41.246242,-73.010522
41.717337,-86.18863
43.701129,-98.0445
38.573122,-109.552368
36.6171238,-121.8438038
50.202872,11.776552
43.886915,-100.716887
39.678111,-111.841003
40.749014,-74.135578
43.815364,4.344721
40.508562,-88.984738
51.626573,4.869871
42.518715,-87.950428
35.850587,-76.756116
29.108571,-81.034603
27.312983,-80.406683
33.660784,-114.241801
56.43301468,10.05558366
44.105601,-103.212569
48.99469384,12.150694
51.947203,10.140477
38.78799,-112.085173
42.243893,-88.978895
38.800537,-121.210485
35.972904,-77.846845
38.771208,-121.266149
38.87738376,-97.61871509
33.498538,-117.66309
29.827707,-97.979685
61.77824031,6.213241712
33.485858,-80.475763
32.135885,-81.212853
39.631467,-106.070818
59.324292,10.954448
40.017517,-79.07712
44.082607,-123.037458
47.130137,10.269231
29.924286,-81.416018
42.056357,-86.456352
31.448847,-83.53221
43.7405008,-79.3217339
40.061396,-80.6024
58.35169,11.81156
59.570131,7.992551
33.970281,-112.731503
50.816873,8.08576
40.535859,-74.297322
43.63385,-95.595647
32.726686,-114.619093
51.940726,6.081793
63.011511,7.975911
47.3265235,7.8048088
59.7708328,10.2621389
51.507888,-0.221972
48.2725284,12.55031
43.1685194,2.9850479
50.5883964,4.307388
49.1818243,10.068356
45.611941,-121.208249
57.45554462,10.04067481
50.181953,9.006662
35.969135,-86.804301
36.748516,-78.103517
51.5111657,-0.4612202
48.992001,4.245283
30.181405,-82.679605
40.544595,-74.334113
52.531375,6.157279
51.5047,-0.016314
39.167745,-120.144472
47.82683,11.89809
55.489365,12.162954
47.726601,13.060463
35.67084836,139.75278306
35.425664,139.537478
35.038644,-85.19593
49.216414,6.170791
45.147765,8.990621
58.3279162,13.1327222
62.114848,10.616398
50.645428,8.9899167
27.940665,-82.323525
46.1369161,6.1243056
49.208678,2.606682
55.9453606,-3.3666667
51.420596,-0.988024
50.9881005,5.7805974
32.878773,-111.681694
47.407325,0.744827
57.028956,14.014744
40.416707,-86.814045
34.32753,-112.11846
39.044394,-95.760226
46.971073,8.459073
45.83626,-109.94341
45.70007,-111.06329
44.1121662,4.85175
41.781195,-70.540289
47.003965,9.525809
46.914375,-114.031924
48.765484,13.046655
39.702238,-86.07959
60.884173,11.540802
68.860064,18.346626
29.140981,-82.193938
45.750012,-0.661725
39.77512,-104.794648
49.5326939,12.1348611
41.585206,-87.721114
38.4016,-75.56489
52.278996,9.35084
22.278527,114.184858
35.617642,139.776912
67.962427,15.929526
39.858702,-84.277027
60.648437,17.120392
49.507382,8.63748
53.417404,-2.6393
66.81416,15.40154
-37.831997,144.995807
63.32885,14.430388
55.067331,9.361081
62.398466,17.339038
28.514873,-81.500189
34.113584,-117.529427
58.227074,14.668253
54.477799,9.544758
65.834832,13.191592
64.464757,12.316403
51.438018,0.268845
27.60089,-80.82286
59.496498,17.924318
51.286224,0.545783
44.574119,10.981157
50.685442,-3.448837
58.918156,17.367987
45.981226,-112.507161
46.496797,9.84272
41.722672,-72.759717
51.08246,13.274088
45.412326,10.970212
46.126595,7.060944
48.64136,8.037807
43.769334,1.361378
53.067403,12.533227
48.638215,6.184349
33.79382,-84.39713
51.087187,9.48516
46.604164,13.869183
52.185729,-0.89127
33.986765,-118.390162
48.343506,8.663626
34.657031,135.226048
30.199071,-93.248782
40.726668,-84.071932
32.760837,-115.532486
51.009594,-118.218857
32.627837,-85.445105
42.203734,-71.833059
39.748868,-89.67119
30.720702,-86.116677
42.838443,-72.565798
43.109066,-71.477768
34.84845,-114.614
39.877253,-83.063448
