lat,lon
46.314271,1.419247
46.639636,14.451389
47.307602,18.744217
58.87322,5.72126
44.24289,12.08182
48.589422,13.365369
46.134416,4.766841
53.2482657,-6.5964347
50.491028,4.095774
50.440471, 7.225629
50.441534, 7.223985
47.113372, 8.232328
55.065192,9.366167
47.836599, 13.395919
46.919943, 13.579276
47.366163, 9.659167
46.847886, 8.633197
46.846522, 8.632302
47.47574, 0.77685
47.50047, -0.49057
53.299087,9.535170
58.07469,24.51278
47.094379,2.241201
51.836003,4.620008
59.11234,10.11033
39.712783,-8.711451
62.07428,9.12514
46.08704,11.1111
47.852405,2.684731
45.843868,5.070508
46.127822,7.059829
51.157900,6.961815
47.327313,10.819309
46.338193,14.191287
52.392241,10.753713
48.836599,11.472234
58.92126,24.45761
48.931751,12.708247
55.48423,22.58733
55.53682,9.7169
47.802835,12.178503
50.860662,12.307977
53.400721,-7.827948
49.484491,10.211978
50.622096,8.897196
63.324643,10.306073
58.40599,6.62316
44.870544,3.253033
51.928028,10.141730
47.906573,11.717379
47.449367,8.700137
49.453814,15.591480
52.173933,11.495112
51.503064,5.414372
58.37214,15.2948
45.50105,11.43627
51.921616,5.603749
47.4189,-0.1343 
54.81854,23.85809
60.89896,7.2108
51.060227,13.571959
59.77503,5.48611
49.205379,9.639696
48.240666,17.360754
45.197124,6.624119
46.182242,9.001796
47.665885,1.387757
48.605321,9.632807
38.800411,-7.661351
40.769662,-6.286721
45.02694,9.73478
60.25416,11.18202
43.3368,1.2449
51.26566,0.61576
43.922931,4.912040
47.4186,-0.1315 
48.468541,1.580005
50.487429,4.096217
37.575694,-1.800833
48.059266,10.846791
50.651848,5.473755
41.420526,2.00216
47.815184,5.223172
38.933955,-6.343053
45.79725,12.81914
40.458398,-3.616092
47.309680,4.501811
62.33874,17.3538
44.5149,4.78
51.474082,7.151429
49.207007,9.639273
37.536329,-8.182924
50.655355,5.710963
47.380371,19.055785
43.92911,10.22261
47.892208,11.731279
45.188934,-0.492422
51.158407,7.230332
50.647664,7.334521 
53.694396,10.324738
53.889183,18.630781
43.216129,3.089531
50.927053,1.798250
60.48457,5.37679
49.162694,8.570788
63.31709,14.1692
56.78302,9.69481
50.070186,6.880905
37.334097,-6.789422
47.504363,4.035971
46.685063,17.379770
59.3871,10.75119
52.315620,13.494702
51.468319,7.594014
48.157839,15.940398
44.171306,0.609660
38.799534,-7.659698
51.695845,7.966201
51.063214,13.571071
45.2374,11.76287
48.262403,2.722228
60.66761,17.07967
49.244484,3.923935
46.420537,4.865333
41.594160192677435,-3.696811222035644
45.277000,5.623000
52.05561,-0.6987
60.82244,9.55347
48.588065,13.366667
49.166746,-0.276864
48.219137,10.127765
49.242629,10.352944
40.63193,15.81358
48.196397,14.528220
56.06861,9.97816
45.169865,-0.334795
56.01699,12.75934
49.984404,14.602629
49.045334,9.266223
44.5131,4.782
49.312948,11.474745
51.900432,19.706458
52.219064,19.461939
48.425298,16.547783
42.732379,-1.618726
56.20688,15.64293
50.573089,2.377188
50.908720,4.386270
53.253234,-6.5698138
42.578429,2.846994
52.539229,8.114598
53.6376,-6.25894
45.33552,9.10753
45.73738,7.40538
43.182391,-5.811289
52.223703,9.221469
47.373952,16.093842
43.9592,8.13416
38.09985,13.34618
50.863745,-3.384490
47.807700,-0.165900
48.411614,10.914898
52.437710,10.809069
47.519215,12.065526
49.780852,10.244797
59.65339,17.08324
48.125475,0.622302
49.044276,9.261639
52.540755,8.112701
50.620347,8.362918
55.5562,12.95218
46.609599,15.661929
46.704579,0.371265
53.161647,6.292686
46.990174,7.475976
62.11837,10.61407
47.129066,10.060559
49.779352,10.246493
52.602813,1.221683
49.167909,-0.273798
