lat,lng,ionity
51.2232,14.9067,0
50.0685,6.88021,1
51.4678,7.59696,1
52.3864,9.99892,1
49.3129,11.4747,1
53.2991,9.53517,1
51.451,11.3051,1
50.6221,8.8972,1
50.4415,7.22398,1
50.4405,7.22563,1
49.8983,9.39435,1
50.6229,8.89485,1
52.9985,9.18121,1
51.4683,7.59401,1
51.1584,7.23033,1
52.3156,13.4947,1
48.931,12.7054,1
48.2062,8.62716,1
52.2237,9.22147,1
50.6477,7.33452,1
48.4064,10.9523,1
50.7247,10.8472,1
49.2426,10.3529,1
53.3,9.53256,1
52.3888,9.99631,1
48.8371,11.4693,1
51.9263,10.1432,1
48.2059,8.62105,1
49.2412,10.3561,1
51.6958,7.9662,1
51.1579,6.96181,1
48.0593,10.8468,1
49.0453,9.26622,1
48.0583,10.8477,1
50.8173,6.21663,1
53.1093,9.98166,1
49.9258,7.9368,1
49.1613,8.56723,1
50.0547,8.90818,1
50.8338,9.57077,1
52.3261,7.43007,1
49.5324,12.1349,1
51.0602,13.572,1
48.4116,10.9149,1
48.6925,12.673,1
47.9066,11.7174,1
49.207,9.63927,1
50.4884,9.70847,1
49.2054,9.6397,1
48.6053,9.63281,1
48.9318,12.7082,1
54.0927,9.92914,1
53.0006,9.17951,1
47.8922,11.7313,1
48.3088,7.79152,1
50.056,11.6091,1
50.8567,12.3132,1
51.2902,12.1376,1
49.1627,8.57079,1
50.8177,6.21385,1
49.0443,9.26164,1
47.8028,12.1785,1
47.8012,12.1772,1
50.2999,8.2347,1
53.6944,10.3247,1
50.8984,10.7256,1
48.8366,11.4722,1
48.5894,13.3654,1
50.6885,8.29592,1
52.5392,8.1146,1
50.7265,10.8416,1
48.5843,10.179,1
50.8607,12.308,1
52.5408,8.1127,1
52.227,9.23255,1
50.6203,8.36292,1
51.928,10.1417,1
51.4741,7.15143,1
51.3704,9.6334,1
53.8557,13.3333,1
48.5881,13.3667,1
53.1472,12.3987,1
52.1739,11.4951,1
54.0142,9.93325,1
51.0632,13.5711,1
53.11,9.98406,1
52.4249,10.7457,1
50.0702,6.88091,1
51.7391,6.59518,1
48.6937,9.3033,1
53.6926,10.3204,1
52.3182,13.4947,1
48.5839,10.1756,1
51.1568,6.9648,1
48.2191,10.1278,1
