lat,lng,park
53.0601,8.47021,0
48.1379,11.759,0
53.9521,10.7474,0
50.3556,7.47936,0
50.3853,7.27375,0
51.2637,6.64397,0
50.4461,7.82831,0
50.4125,7.94016,0
50.119,8.59596,0
52.1288,10.0469,0
49.8691,8.58565,0
49.5931,7.96295,0
51.6956,13.9017,0
49.3999,11.9774,0
49.7235,9.82479,0
49.7751,9.71912,0
53.1134,8.85921,0
50.7947,7.15384,0
51.853,13.9079,0
49.6677,11.4687,0
50.3467,9.75371,0
50.6824,12.5854,0
48.296,11.5788,0
49.4161,7.52887,0
51.5937,8.48354,0
51.5218,7.70099,0
53.8187,8.71007,0
53.7467,8.66954,0
51.2225,14.9139,0
51.2034,14.7596,0
50.9489,7.21615,0
52.1871,7.11299,0
52.5745,12.9728,0
52.553,13.6731,0
53.7095,13.3295,0
53.6226,13.3669,0
52.0537,7.06311,0
51.6041,6.3515,0
48.0752,11.0977,0
49.5535,8.44549,0
51.8047,10.9961,0
49.4324,7.5154,0
51.91,7.56334,0
49.7801,8.10764,0
50.6392,12.4417,0
53.1074,8.27111,0
52.9496,9.87842,0
53.6783,8.65784,0
53.0291,8.21582,0
50.8353,6.41976,0
50.89,6.68017,0
49.1567,9.30576,0
50.8326,6.31918,0
51.419,12.2622,0
52.2926,13.5594,0
50.3791,8.08933,0
49.7788,6.84497,0
53.1521,12.4022,0
49.2366,9.34859,0
52.5776,9.77376,0
51.1061,6.56466,0
51.9156,7.5597,0
50.7148,9.65774,0
51.8848,7.57541,0
53.5112,10.8962,0
53.5113,10.8987,0
52.303,12.9738,0
49.4088,11.5419,0
50.6299,7.06175,0
53.8271,10.97,0
49.6064,8.0007,0
49.9826,11.0452,0
52.3382,12.6955,0
49.2562,10.5939,0
54.0588,9.36427,0
48.742,10.1964,0
48.0363,10.7488,0
50.0178,6.61093,0
51.2195,14.8744,0
48.8856,10.1655,0
50.6163,7.417,0
52.0721,10.5005,0
53.1379,7.27353,0
49.0881,8.21319,0
51.0949,11.9556,0
49.6197,11.4052,0
51.2626,12.7015,0
49.3291,6.8155,0
52.2875,7.59563,0
51.2004,6.93605,0
52.2492,12.3034,0
49.7937,11.0272,0
51.7579,6.96578,0
50.2871,7.51132,0
52.7736,13.5647,0
52.8793,7.22989,0
50.0211,10.9499,0
51.8975,6.16688,0
51.8171,6.44128,0
50.5268,7.18775,0
49.5579,8.31083,0
51.1965,13.7398,0
50.9915,10.4487,0
50.0073,6.69189,0
52.9972,9.18616,0
50.328,7.3808,0
51.8593,7.00639,0
53.2799,7.90294,0
49.8138,6.7578,0
50.9502,7.06497,0
53.5325,11.4676,0
50.9494,11.2449,0
51.5722,7.12828,0
52.6368,13.4388,0
48.9869,10.1953,0
51.811,7.62285,0
50.4712,10.4531,0
52.9576,9.24704,0
52.9333,9.28152,0
53.808,11.6052,0
50.4463,10.4438,0
51.5253,7.79406,0
50.8761,11.503,0
53.259,7.94256,0
50.2394,9.87547,0
51.8118,11.1244,0
50.877,11.5008,0
50.0461,8.54262,0
50.9061,10.6082,0
52.3095,12.8774,0
51.3055,11.2375,0
51.327,11.248,0
51.4352,11.4311,0
48.92,9.15699,0
50.9303,11.3916,0
51.2112,14.559,0
52.2538,12.3142,0
50.0545,8.91237,0
53.9016,11.7178,0
49.3893,6.66938,0
53.4207,11.5295,0
51.7109,8.71378,1
49.3126,11.4714,1
52.6207,13.5416,1
50.0595,8.34606,1
50.8899,11.8714,1
50.75,9.2997,1
50.6454,8.98992,1
47.7223,10.3497,1
51.9968,8.61578,1
53.826,12.3002,1
52.1745,11.493,1
49.7507,9.8433,1
52.2133,8.81432,1
49.1818,10.0684,1
51.1911,6.93691,1
51.4016,12.1814,1
47.9234,10.2087,1
49.4759,8.32811,1
53.0674,12.5332,1
48.4111,10.4404,1
48.2275,7.75389,1
48.7892,12.8985,1
51.2078,6.379,1
50.182,9.00666,1
51.4907,9.01261,1
50.9233,6.85034,1
51.0573,13.5314,1
52.9045,12.7384,1
49.5441,11.0287,1
49.8905,8.60735,1
48.1465,11.7906,1
52.3089,13.4446,1
48.6256,12.3203,1
49.9824,10.5556,1
53.6183,10.2391,1
49.2738,8.69533,1
52.4809,13.3559,1
50.9941,6.54831,1
49.2361,8.8801,1
48.4571,10.031,1
48.3435,8.66363,1
49.2607,10.5035,1
53.4608,9.93978,1
53.1041,9.98192,1
51.9472,10.1405,1
52.6581,8.16982,1
49.4598,7.82151,1
48.6395,9.43611,1
48.3065,11.6346,1
48.7655,13.0467,1
49.5327,12.1349,1
53.3697,9.80219,1
48.4077,10.5993,1
53.5646,9.89954,1
51.495,7.28496,1
54.3159,10.1003,1
51.0872,9.48516,1
48.999,8.42875,1
48.762,11.4644,1
50.9179,6.83319,1
48.0965,11.6043,1
49.7786,10.0689,1
47.8803,10.0403,1
48.2725,12.5503,1
48.2813,7.77766,1
53.4798,10.0251,1
51.6955,7.96713,1
47.8653,11.7907,1
47.8268,11.8981,1
53.3809,10.0176,1
49.4403,7.7018,1
50.8137,7.10721,1
48.5108,11.5819,1
49.4476,10.2504,1
48.7931,8.1609,1
48.6914,9.00371,1
52.1707,11.4848,1
51.6293,9.91853,1
51.3144,7.26632,1
51.6337,12.1962,1
50.4827,7.75021,1
51.4404,6.61019,1
50.1336,8.56104,1
53.0014,9.93094,1
50.8169,8.08576,1
54.0928,13.0855,1
49.5074,8.63748,1
49.5266,8.56384,1
47.6194,12.2024,1
53.0288,8.80704,1
49.3136,12.1446,1
54.4778,9.54476,1
48.7851,9.01771,1
50.1678,12.1073,1
48.1984,11.6179,1
53.846,9.93615,1
48.6414,8.03781,1
49.6699,8.59157,1
49.1384,8.56233,1
51.4505,11.3044,1
50.5489,11.7944,1
48.5184,9.76109,1
47.619,7.58166,1
53.1048,9.97952,1
49.8968,8.61414,1
49.2119,9.07732,1
48.3937,11.0705,1
50.1153,7.59812,1
48.0425,10.6201,1
52.2427,10.5123,1
49.7708,9.57625,1
48.6456,11.5207,1
52.2112,8.87565,1
49.9116,10.0014,1
50.8347,9.57337,1
52.268,7.96313,1
51.9112,7.39875,1
49.9348,9.35375,1
50.6439,10.6849,1
48.9947,12.1507,1
50.1886,9.18617,1
52.1466,7.73769,1
50.5572,8.56496,1
49.994,9.07063,1
50.34,7.44063,1
50.6751,8.27997,1
49.365,11.2073,1
52.3132,10.635,1
49.924,7.82567,1
52.279,9.35084,1
48.0241,7.78403,1
50.9216,6.99762,1
47.8144,12.3678,1
