lat,lng,ionity
49.936,7.94118,0
51.5553,6.98033,0
49.0212,12.0691,0
50.0474,8.6015,0
49.527,8.06783,0
49.5615,8.55849,0
49.9674,8.25441,0
49.6392,11.0133,0
51.3111,12.5497,0
48.2476,11.6425,0
52.0841,7.64422,0
51.5411,8.83601,0
51.59,7.1873,0
50.0145,10.159,0
53.0232,8.80288,0
51.574,11.9005,0
52.4201,12.9221,0
53.1653,7.28416,0
53.1078,8.27925,0
49.7394,9.99771,0
51.1718,13.823,0
52.7744,13.5657,0
52.3507,12.5941,0
51.2573,12.7247,0
51.4037,11.8646,0
51.8075,6.98392,0
51.8079,6.98404,0
50.6392,12.4417,0
53.5607,10.2382,0
53.2153,13.9648,0
48.5069,11.5874,0
50.3429,11.8278,0
49.7819,10.2097,0
50.3518,11.9722,0
51.2481,12.3843,0
51.4335,12.2014,0
51.0882,9.48441,0
51.1216,6.79799,0
50.013,10.9443,0
51.8554,8.66834,0
49.1867,9.19585,0
49.9431,6.88233,0
51.584,8.32122,0
49.4292,11.6496,0
52.2075,13.609,0
53.8271,10.97,0
53.8247,10.9623,0
49.9825,11.0421,0
52.8741,7.22593,0
49.6197,11.4052,0
49.9215,10.878,0
51.1278,11.1651,0
53.5137,10.8345,0
53.9048,12.2457,0
49.707,10.1046,0
49.2388,8.89428,0
49.4489,7.71282,0
49.4638,7.4497,0
48.5011,7.90477,0
54.0791,12.8585,0
49.5195,6.9956,0
51.5337,13.9079,0
51.4927,13.8948,0
52.7141,13.0039,0
50.8761,11.503,0
52.3685,13.1494,0
50.877,11.5008,0
49.7695,10.4815,0
49.7543,9.92053,0
50.5805,11.7771,0
53.2931,12.47,0
52.3499,12.6043,0
53.8721,11.6445,0
48.2167,11.6375,0
50.0685,6.88021,1
51.4678,7.59696,1
52.3864,9.99892,1
49.3129,11.4747,1
53.2991,9.53517,1
51.451,11.3051,1
50.6221,8.8972,1
50.4415,7.22398,1
50.4405,7.22563,1
49.8983,9.39435,1
50.6229,8.89485,1
52.9985,9.18121,1
51.4683,7.59401,1
51.1584,7.23033,1
52.3156,13.4947,1
48.931,12.7054,1
48.2062,8.62716,1
52.2237,9.22147,1
50.6477,7.33452,1
48.4064,10.9523,1
50.7247,10.8472,1
49.2426,10.3529,1
53.3,9.53256,1
52.3888,9.99631,1
48.8371,11.4693,1
51.9263,10.1432,1
48.2059,8.62105,1
49.2412,10.3561,1
51.6958,7.9662,1
51.1579,6.96181,1
48.0593,10.8468,1
49.0453,9.26622,1
48.0583,10.8477,1
50.8173,6.21663,1
53.1093,9.98166,1
49.9258,7.9368,1
49.1613,8.56723,1
50.0547,8.90818,1
50.8338,9.57077,1
52.3261,7.43007,1
49.5324,12.1349,1
51.0602,13.572,1
48.4116,10.9149,1
48.6925,12.673,1
47.9066,11.7174,1
49.207,9.63927,1
50.4884,9.70847,1
49.2054,9.6397,1
48.6053,9.63281,1
48.9318,12.7082,1
54.0927,9.92914,1
53.0006,9.17951,1
47.8922,11.7313,1
48.3088,7.79152,1
50.056,11.6091,1
50.8567,12.3132,1
51.2902,12.1376,1
49.1627,8.57079,1
50.8177,6.21385,1
49.0443,9.26164,1
47.8028,12.1785,1
47.8012,12.1772,1
50.2999,8.2347,1
53.6944,10.3247,1
50.8984,10.7256,1
48.8366,11.4722,1
48.5894,13.3654,1
50.6885,8.29592,1
52.5392,8.1146,1
50.7265,10.8416,1
48.5843,10.179,1
50.8607,12.308,1
52.5408,8.1127,1
52.227,9.23255,1
50.6203,8.36292,1
51.928,10.1417,1
51.4741,7.15143,1
51.3704,9.6334,1
53.8557,13.3333,1
48.5881,13.3667,1
53.1472,12.3987,1
52.1739,11.4951,1
54.0142,9.93325,1
51.0632,13.5711,1
53.11,9.98406,1
52.4249,10.7457,1
50.0702,6.88091,1
51.7391,6.59518,1
48.6937,9.3033,1
53.6926,10.3204,1
52.3182,13.4947,1
48.5839,10.1756,1
51.1568,6.9648,1
48.2191,10.1278,1
