lat,lng,ionity
48.3342,11.6995,0
48.3661,11.7391,0
48.5752,11.5928,0
53.0551,8.50536,0
53.5097,10.047,0
49.3313,8.50299,0
51.0056,6.88014,0
50.9804,6.85228,0
51.3656,6.62652,0
48.7529,11.8698,0
48.9553,8.38027,0
51.7315,7.14923,0
52.4393,9.87375,0
49.6646,8.55508,0
49.527,8.06783,0
49.5559,8.5495,0
50.1381,8.59252,0
50.8968,6.69939,0
48.7868,8.98536,0
48.706,9.04941,0
49.673,8.59997,0
51.4867,6.81977,0
53.7916,10.7531,0
53.8461,10.603,0
49.4697,11.1861,0
49.7798,8.11996,0
49.6875,8.0378,0
49.3395,7.29623,0
49.9782,10.5609,0
51.9421,8.55258,0
47.9985,10.199,0
47.7537,9.90751,0
49.7235,9.82479,0
51.2607,9.5139,0
52.1787,8.61093,0
53.3086,8.61909,0
50.6386,12.4398,0
53.0261,8.85164,0
49.849,10.0052,0
50.1057,12.0941,0
49.7604,10.1051,0
49.2082,10.1485,0
52.313,13.6642,0
50.0251,11.5999,0
53.1174,8.806,0
49.8012,8.57078,0
50.1952,9.20884,0
52.5577,12.9655,0
50.9452,7.30343,0
51.6849,8.71298,0
51.5937,8.48354,0
51.2063,14.6606,0
50.9812,7.42796,0
51.1926,6.92032,0
50.7141,7.06421,0
51.356,12.4933,0
51.2373,12.0675,0
49.4243,11.208,0
51.8252,11.6776,0
52.7073,13.1052,0
52.5385,12.9653,0
52.8494,13.6667,0
52.6905,13.5584,0
50.5458,11.7992,0
54.2931,10.8708,0
51.701,6.92509,0
52.5568,9.79198,0
51.2933,6.64896,0
52.6541,13.2439,0
49.8387,8.14407,0
50.2148,12.0945,0
49.5767,6.98131,0
53.1899,8.10288,0
53.1889,8.10356,0
52.8135,7.19086,0
52.1155,8.18034,0
53.6398,9.83903,0
53.7212,10.3408,0
51.787,11.569,0
53.7442,9.71269,0
48.5193,9.81052,0
51.1919,6.91103,0
49.4075,9.47269,0
51.5568,13.9165,0
51.5789,7.50044,0
51.4007,9.18787,0
49.4965,11.2825,0
52.2345,8.16013,0
49.1867,9.19585,0
50.0209,10.3254,0
51.1564,13.9792,0
47.816,7.55429,0
49.4218,7.5579,0
53.5934,11.507,0
51.5153,6.81613,0
