lat,lng,ionity
50.4489,7.854,0
54.3593,10.9612,0
49.4079,11.3471,0
53.558,10.2204,0
49.4235,11.6953,0
50.1424,8.99145,0
52.2895,12.4584,0
50.1655,6.88635,0
49.3373,6.71916,0
50.6804,12.5802,0
52.1228,13.6463,0
52.156,13.6484,0
50.2122,8.25062,0
50.6915,12.6991,0
50.3891,10.917,0
50.2627,10.2206,0
49.276,7.17454,0
52.559,9.79019,0
50.3298,10.2915,0
49.4088,11.5419,0
49.9826,11.0452,0
51.2573,11.9975,0
51.2195,14.8744,0
52.2282,11.7573,0
52.4841,7.20958,0
52.5468,7.19373,0
53.5516,10.6396,0
51.536,7.93605,0
50.693,12.7222,0
50.9578,10.9381,0
51.3669,6.82696,0
53.7089,12.3576,0
53.4909,12.3828,0
50.878,11.6702,0
52.1439,11.5415,0
52.6543,13.2441,0
53.2144,8.05496,0
50.1717,9.04433,0
50.9719,7.64736,0
50.4899,9.70278,0
53.0192,9.06453,0
53.808,11.6052,0
50.4243,10.3564,0
53.5619,10.5593,0
53.5607,10.4047,0
53.5657,10.3257,0
50.8536,9.72121,0
53.5658,10.3258,0
50.8761,11.503,0
49.96,6.84807,0
51.1899,14.9812,0
53.5386,10.7264,0
51.2112,14.559,0
49.3893,6.66938,0
53.4207,11.5295,0
51.7109,8.71378,1
49.3126,11.4714,1
52.6207,13.5416,1
50.0595,8.34606,1
50.8899,11.8714,1
50.75,9.2997,1
50.6454,8.98992,1
47.7223,10.3497,1
51.9968,8.61578,1
53.826,12.3002,1
52.1745,11.493,1
49.7507,9.8433,1
52.2133,8.81432,1
49.1818,10.0684,1
51.1911,6.93691,1
51.4016,12.1814,1
47.9234,10.2087,1
49.4759,8.32811,1
53.0674,12.5332,1
48.4111,10.4404,1
48.2275,7.75389,1
48.7892,12.8985,1
51.2078,6.379,1
50.182,9.00666,1
51.4907,9.01261,1
50.9233,6.85034,1
51.0573,13.5314,1
52.9045,12.7384,1
49.5441,11.0287,1
49.8905,8.60735,1
48.1465,11.7906,1
52.3089,13.4446,1
48.6256,12.3203,1
49.9824,10.5556,1
53.6183,10.2391,1
49.2738,8.69533,1
52.4809,13.3559,1
50.9941,6.54831,1
49.2361,8.8801,1
48.4571,10.031,1
48.3435,8.66363,1
49.2607,10.5035,1
53.4608,9.93978,1
53.1041,9.98192,1
51.9472,10.1405,1
52.6581,8.16982,1
49.4598,7.82151,1
48.6395,9.43611,1
48.3065,11.6346,1
48.7655,13.0467,1
49.5327,12.1349,1
53.3697,9.80219,1
48.4077,10.5993,1
53.5646,9.89954,1
51.495,7.28496,1
54.3159,10.1003,1
51.0872,9.48516,1
48.999,8.42875,1
48.762,11.4644,1
50.9179,6.83319,1
48.0965,11.6043,1
49.7786,10.0689,1
47.8803,10.0403,1
48.2725,12.5503,1
48.2813,7.77766,1
53.4798,10.0251,1
51.6955,7.96713,1
47.8653,11.7907,1
47.8268,11.8981,1
53.3809,10.0176,1
49.4403,7.7018,1
50.8137,7.10721,1
48.5108,11.5819,1
49.4476,10.2504,1
48.7931,8.1609,1
48.6914,9.00371,1
52.1707,11.4848,1
51.6293,9.91853,1
51.3144,7.26632,1
51.6337,12.1962,1
50.4827,7.75021,1
51.4404,6.61019,1
50.1336,8.56104,1
53.0014,9.93094,1
50.8169,8.08576,1
54.0928,13.0855,1
49.5074,8.63748,1
49.5266,8.56384,1
47.6194,12.2024,1
53.0288,8.80704,1
49.3136,12.1446,1
54.4778,9.54476,1
48.7851,9.01771,1
50.1678,12.1073,1
48.1984,11.6179,1
53.846,9.93615,1
48.6414,8.03781,1
49.6699,8.59157,1
49.1384,8.56233,1
51.4505,11.3044,1
50.5489,11.7944,1
48.5184,9.76109,1
47.619,7.58166,1
53.1048,9.97952,1
49.8968,8.61414,1
49.2119,9.07732,1
48.3937,11.0705,1
50.1153,7.59812,1
48.0425,10.6201,1
52.2427,10.5123,1
49.7708,9.57625,1
48.6456,11.5207,1
52.2112,8.87565,1
49.9116,10.0014,1
50.8347,9.57337,1
52.268,7.96313,1
51.9112,7.39875,1
49.9348,9.35375,1
50.6439,10.6849,1
48.9947,12.1507,1
50.1886,9.18617,1
52.1466,7.73769,1
50.5572,8.56496,1
49.994,9.07063,1
50.34,7.44063,1
50.6751,8.27997,1
49.365,11.2073,1
52.3132,10.635,1
49.924,7.82567,1
52.279,9.35084,1
48.0241,7.78403,1
50.9216,6.99762,1
47.8144,12.3678,1
51.0825,13.2741,1
49.84,8.14366,1
52.2668,12.9225,1
50.5625,7.52553,1
49.0009,12.0484,1
49.1612,11.2606,1
51.371,9.63331,1
53.8232,10.5036,1
52.1356,10.2884,1
51.5702,7.67527,1
51.5447,12.014,1
51.5595,9.87945,1
49.594,8.63231,1
52.2382,8.16296,1
48.2188,10.1274,1
50.0724,8.47697,1
48.9091,8.69096,1
50.2029,11.7766,1
52.4001,13.546,1
48.0397,11.6612,1
53.2347,13.9865,1
51.29,12.1373,1
52.3592,7.26422,1
49.7691,10.4705,1
