lat,lng,ionity
52.7554,-1.27425,0
53.1363,-2.33622,0
47.5412,7.97369,0
52.4365,13.1951,0
47.6218,6.8602,0
45.4171,10.8471,0
53.0733,-2.33624,0
49.5155,7.38273,0
42.5305,2.82393,0
45.9001,16.2673,0
49.4342,11.2709,0
52.3424,7.24097,0
49.188,16.4507,0
40.656,-4.08928,0
43.5184,-5.70934,0
40.9825,29.2081,0
53.6551,-1.52812,0
51.1614,4.23753,0
52.1871,7.11299,0
52.4764,12.9561,0
48.0577,0.176334,0
47.3275,1.49621,0
45.9732,3.09717,0
40.8324,31.0395,0
40.7398,32.1748,0
52.3508,16.8473,0
42.3197,-8.65961,0
42.3097,-7.87821,0
39.1192,-2.00455,0
45.7403,12.6909,0
49.2068,6.12481,0
51.0522,3.83122,0
47.4066,7.80672,0
41.6649,-4.76044,0
51.2573,12.7247,0
44.4548,11.2811,0
36.9891,-3.61062,0
51.701,6.92509,0
40.3957,0.368463,0
40.7667,0.630137,0
38.1857,23.8522,0
41.5348,0.474562,0
44.3399,0.252357,0
41.2054,15.8853,0
46.2522,14.9735,0
41.1635,-7.77123,0
50.9296,5.77833,0
52.0141,5.65746,0
52.2373,6.21939,0
52.4829,6.02872,0
37.5894,-3.60223,0
44.4343,8.73911,0
49.5767,6.98131,0
50.8467,3.36842,0
50.7006,5.18979,0
44.7555,8.64595,0
49.4029,17.1048,0
48.0561,0.191482,0
44.3602,9.20394,0
40.017,-4.54081,0
37.9211,-1.15948,0
47.5698,21.5437,0
43.5471,11.5598,0
51.6312,11.8597,0
43.2166,-8.05323,0
42.946,-4.13108,0
41.8027,12.8209,0
48.0536,4.96353,0
40.4763,-3.40851,0
43.4402,11.7744,0
39.6849,-5.72353,0
39.4817,-3.62586,0
37.3616,-6.20347,0
40.7749,-4.42425,0
42.3347,-3.78241,0
40.7105,-7.93957,0
43.3195,-3.05077,0
41.9075,-5.49701,0
44.4265,11.6054,0
44.4244,11.6131,0
49.2366,9.34859,0
41.7738,-1.17509,0
49.9113,9.99809,0
50.7455,5.69279,0
45.4108,11.0908,0
50.3722,11.792,0
41.0003,-3.63874,0
43.8157,13.0102,0
41.3535,-4.95433,0
39.69,-3.49846,0
49.6399,5.8802,0
51.8631,6.24297,0
49.4478,7.70548,0
52.3313,13.1156,0
45.0612,9.6607,0
38.9083,-6.37595,0
38.7138,-6.39633,0
53.5889,27.0385,0
50.7892,5.5373,0
53.478,26.6258,0
53.8271,10.97,0
51.5406,8.83822,0
51.0889,11.9558,0
41.1204,25.0744,0
39.0901,22.8734,0
42.3025,24.2106,0
42.4154,-5.22094,0
40.7874,31.276,0
38.9624,-8.8345,0
42.1597,14.6388,0
44.8165,20.4115,0
41.0145,29.057,0
44.888,10.0987,0
43.2379,2.09209,0
47.9791,5.50067,0
36.7859,-3.51748,0
50.4882,17.9899,0
36.6485,-4.48821,0
42.8838,22.0714,0
42.1854,-4.44962,0
40.7007,23.373,0
49.8548,2.36003,0
43.8557,21.4353,0
36.6506,-6.08563,0
37.8096,-4.8027,0
51.1958,14.4656,0
44.0129,15.5823,0
50.7543,17.4353,0
45.4294,10.708,0
48.8941,12.0778,0
41.5373,0.47686,0
48.7259,4.22075,0
46.2064,7.01088,0
45.5615,16.5889,0
45.3286,16.9465,0
45.4552,15.3758,0
39.0935,-0.533987,0
51.2849,4.85359,0
48.8324,11.9735,0
38.5472,-6.36404,0
42.3981,2.87739,0
42.0858,13.0566,0
52.7736,13.5647,0
40.6494,-8.59581,0
39.6621,-5.78737,0
43.9306,1.30574,0
49.8382,2.99334,0
40.3767,-8.49307,0
44.5342,7.79059,0
36.3811,-5.65293,0
46.5427,15.697,0
39.2002,16.312,0
40.086,-3.11423,0
42.0191,-6.34747,0
44.698,10.0899,0
44.5244,11.2956,0
44.7828,10.4883,0
42.0655,-4.22706,0
38.0925,23.6083,0
41.723,13.1134,0
41.3004,14.0911,0
50.2552,18.8602,0
42.3678,-2.07473,0
43.3909,-3.35601,0
45.2769,10.8785,0
41.8132,-5.36047,0
39.9582,-4.91961,0
39.5316,-7.94299,0
39.489,-8.45046,0
39.509,-1.66605,0
41.0652,15.0667,0
42.0221,13.7887,0
49.9731,2.8634,0
45.4134,2.02575,0
40.3687,22.0538,0
37.5951,-2.29201,0
49.1362,6.7169,0
37.4593,34.8787,0
49.5075,6.19933,0
40.7129,30.3891,0
45.0364,19.4484,0
50.0134,20.8674,0
41.4025,-8.25356,0
38.9761,-0.60213,0
37.1648,-4.165,0
37.3155,-3.3377,0
42.6171,-8.09782,0
42.0054,-6.01202,0
50.0668,3.17785,0
46.6356,16.1698,0
46.0288,11.122,0
46.4604,-0.88537,0
46.1399,19.9017,0
37.1949,36.4233,0
37.2855,37.1221,0
51.4971,-0.730835,0
49.177,4.1612,0
51.2663,6.07672,0
51.1883,15.1079,0
43.2245,-7.73483,0
39.5981,20.8648,0
51.3332,6.1867,0
51.944,19.1806,0
42.401,-6.00645,0
49.9141,3.23707,0
49.5677,17.497,0
37.3861,-1.72739,0
36.5158,-4.8243,0
50.9494,11.2449,0
44.8892,15.1942,0
50.3862,5.67962,0
51.5633,-0.550202,0
51.8507,13.9112,0
41.0177,-2.53824,0
52.2445,13.59,0
51.5404,8.01498,0
51.445,6.77142,0
39.8348,16.2564,0
44.8416,20.25,0
51.5867,8.37546,0
38.1029,14.7168,0
42.8351,13.9049,0
50.0796,19.7558,0
38.5364,-0.8095,0
36.6716,-4.52833,0
39.1184,-1.9962,0
39.87,-3.29879,0
41.9029,2.09563,0
41.5503,2.21041,0
36.8722,-2.22732,0
39.7021,20.9703,0
52.1518,18.4531,0
41.8028,-7.41447,0
48.9778,7.06367,0
38.0421,-3.999,0
48.6281,0.195017,0
45.5096,19.7249,0
42.8795,-2.70947,0
43.7493,21.4527,0
39.9271,22.6387,0
44.9756,19.7472,0
53.0435,12.5514,0
51.7051,12.2119,0
40.6262,-7.78346,0
49.3954,11.9102,0
50.1842,2.87405,0
40.7788,-8.54364,0
41.2968,22.4315,0
54.0074,12.0253,0
41.8693,-5.70844,0
43.3255,-4.18739,0
38.0069,22.7355,0
39.4043,-9.15486,0
54.0608,28.4481,0
40.6391,22.7927,0
40.2759,-0.985453,0
40.5683,-1.28026,0
38.313,21.9824,0
39.5085,-1.68341,0
47.4072,8.21321,0
41.4268,15.6592,0
50.1411,5.08058,0
40.186,28.3356,0
39.381,27.6279,0
36.754,-3.74572,0
52.9078,12.735,0
40.8146,30.4422,0
38.5115,34.3405,0
38.9099,22.835,0
37.5717,14.4797,1
47.0321,5.10971,1
41.3126,-2.00133,1
53.1616,6.29269,1
43.9996,4.70019,1
57.8129,13.4195,1
52.7507,-6.20215,1
50.0685,6.88021,1
51.0644,2.67361,1
51.4678,7.59696,1
41.6055,-8.551,1
52.3864,9.99892,1
46.7516,2.41761,1
49.6143,0.545844,1
49.3129,11.4747,1
52.5327,-0.32065,1
53.2991,9.53517,1
48.1578,15.9404,1
38.8246,-3.39686,1
48.1255,0.622302,1
48.467,1.57934,1
46.6096,15.6619,1
52.2191,19.4619,1
63.3246,10.3061,1
45.8765,6.07068,1
50.5731,2.37719,1
53.0006,9.17951,1
50.7247,10.8472,1
50.0702,6.88091,1
51.451,11.3051,1
51.5879,-0.629065,1
50.4874,4.09622,1
51.4741,7.15143,1
56.0686,9.97816,1
43.4218,-0.598593,1
49.6143,0.547145,1
50.6221,8.8972,1
50.6229,8.89485,1
52.1791,5.98428,1
52.0147,5.12222,1
50.4415,7.22398,1
50.4405,7.22563,1
44.1713,0.60966,1
47.8152,5.22317,1
50.8607,12.308,1
43.4186,-0.584799,1
43.3348,1.245,1
45.7374,7.40538,1
49.1679,-0.273798,1
49.1667,-0.276864,1
55.8372,-4.24249,1
37.5359,-8.18474,1
37.5363,-8.18292,1
55.4842,22.5873,1
53.8869,18.6309,1
46.3143,1.41925,1
49.8983,9.39435,1
39.7128,-8.71145,1
47.0309,5.10791,1
44.2868,-0.229096,1
62.3387,17.3538,1
51.9216,5.60375,1
56.0231,14.1731,1
51.8348,4.61808,1
46.6851,17.3798,1
51.5031,5.41437,1
48.4064,10.9523,1
40.6147,14.968,1
52.4249,10.7457,1
45.7972,12.8191,1
47.5192,12.0655,1
41.3116,-2.00274,1
51.9004,19.7065,1
