lat,lng,ionity
43.2842,-2.32406,0
40.656,-4.08928,0
40.2473,-3.69001,0
51.2063,14.6606,0
45.886,3.58372,0
51.8888,19.5827,0
40.6846,-3.09156,0
43.1117,2.95211,0
39.4882,-2.15374,0
40.7164,-6.38782,0
42.6716,-2.89065,0
38.8746,-6.47273,0
38.8894,-6.91492,0
40.7105,-7.93957,0
42.0322,-1.63658,0
40.9999,-5.63277,0
43.3383,-1.75932,0
42.3041,24.205,0
40.302,21.6886,0
41.7738,-1.16825,0
37.8192,-4.79723,0
38.7105,-6.39571,0
38.8772,-6.45473,0
44.5064,8.70439,0
44.0541,1.09904,0
42.0224,-5.84725,0
42.0191,-6.34747,0
42.3801,-5.05184,0
52.1553,18.2691,0
41.3055,14.0897,0
36.5412,-6.16148,0
42.8414,13.9029,0
41.3882,1.19501,0
47.8181,0.30731,0
39.4765,-8.63103,0
40.1793,-4.14342,0
40.162,-4.17012,0
40.0214,-4.49853,0
39.3901,-8.63804,0
45.8581,4.03757,0
40.4213,22.5901,0
40.3687,22.0538,0
38.6886,-8.63875,0
38.8608,-6.54104,0
40.6052,-7.07196,0
41.6884,-8.53686,0
38.4892,-0.773561,0
37.1979,34.8263,0
43.3265,-7.61777,0
45.9954,19.7199,0
42.8106,-7.10433,0
49.9141,3.23707,0
51.5337,13.9079,0
50.408,3.62148,0
40.7084,23.1881,0
46.4159,4.86315,0
45.2439,20.0325,0
37.8773,-4.75843,0
49.0719,4.78306,0
38.8815,-6.44324,0
41.2876,1.40818,0
51.2169,15.2466,0
41.1354,-8.57805,0
39.2041,-8.7908,0
41.1242,-1.28729,0
42.9753,-8.44271,0
39.9656,28.1585,0
40.9612,29.3289,0
39.1242,33.4259,0
59.4264,15.8271,1
60.3473,10.5746,1
52.9045,12.7384,1
40.2619,28.924,1
43.5288,21.7094,1
60.8785,10.9296,1
38.6584,23.0721,1
38.3245,21.8692,1
40.8704,29.3958,1
53.7919,-1.4266,1
43.1166,0.766975,1
50.2895,6.09858,1
39.4735,-0.419781,1
46.1369,6.12431,1
51.7109,8.71378,1
46.9954,11.502,1
41.859,2.76724,1
49.1208,4.24261,1
43.3565,-4.09439,1
60.6337,11.3017,1
44.0364,1.37837,1
45.5115,9.63482,1
39.876,16.0651,1
49.3126,11.4714,1
58.9703,5.73097,1
52.6207,13.5416,1
45.7375,7.37142,1
62.6165,29.7712,1
60.4891,26.5548,1
41.6879,26.5894,1
63.3253,10.3051,1
47.2795,9.62295,1
53.3783,14.691,1
50.0595,8.34606,1
52.6774,-2.39917,1
51.2961,-0.857413,1
53.3141,-1.2819,1
49.1384,16.6307,1
46.3466,4.85017,1
56.4143,10.0771,1
39.5387,-2.25457,1
49.5217,15.3475,1
48.6318,2.40708,1
48.7545,2.35104,1
49.365,11.2073,1
48.053,0.166388,1
52.3132,10.635,1
52.3089,13.4446,1
48.6395,9.43611,1
52.4001,13.546,1
47.3547,13.3858,1
47.5346,12.093,1
56.0248,14.1174,1
49.2607,10.5035,1
53.0288,8.80704,1
56.9319,12.5181,1
43.2928,5.47708,1
52.1707,11.4848,1
47.0494,2.34484,1
53.6183,10.2391,1
40.2983,-3.82131,1
44.871,3.25292,1
53.4669,-2.35398,1
43.3891,-5.80372,1
52.1608,4.54932,1
58.3517,11.8116,1
59.328,17.0162,1
61.1116,25.9288,1
49.7507,9.8433,1
49.994,9.07063,1
46.4962,5.31039,1
50.9215,4.03279,1
41.9719,12.5402,1
50.1886,9.18617,1
36.6924,-6.16025,1
59.9393,17.6561,1
49.648,5.8188,1
51.5765,4.72977,1
47.033,15.4118,1
47.6333,17.661,1
49.0095,2.52837,1
48.4571,10.031,1
55.868,-4.23896,1
51.5447,12.014,1
46.8261,13.486,1
59.3815,13.4673,1
47.4181,8.39682,1
47.0713,15.5779,1
51.5268,4.74412,1
50.2029,11.7766,1
52.2112,8.87565,1
53.6305,-2.6927,1
55.7664,12.9907,1
48.6456,11.5207,1
41.3132,-2.0022,1
46.6214,14.0127,1
44.6752,4.79553,1
51.601,-2.92864,1
52.3293,4.78499,1
49.7708,9.57625,1
60.0795,11.1495,1
56.5015,12.9576,1
47.2178,10.7503,1
58.9182,17.368,1
47.8803,10.0403,1
48.3937,11.0705,1
47.4885,9.73992,1
59.2607,18.0994,1
48.2275,7.75389,1
58.3932,11.7581,1
59.0359,9.67402,1
54.8365,9.33889,1
41.664,0.605371,1
51.1911,6.93691,1
45.7179,4.92675,1
53.0674,12.5332,1
48.0965,11.6043,1
57.814,13.419,1
53.4608,9.93978,1
45.5869,4.78781,1
49.0366,6.11295,1
50.0724,8.47697,1
47.3792,14.9938,1
40.3731,-8.48055,1
48.6911,6.12779,1
54.442,-1.67124,1
53.4061,-6.83819,1
52.9942,-2.29066,1
45.553,9.23907,1
47.9915,5.51296,1
51.4907,9.01261,1
43.5106,5.45643,1
49.6699,8.59157,1
52.2192,-1.50127,1
51.0573,13.5314,1
49.924,7.82567,1
53.0014,9.93094,1
47.7825,7.38846,1
46.7746,5.52221,1
41.516,-4.94311,1
47.8046,16.2105,1
48.6972,2.23153,1
50.8877,4.45305,1
55.7864,9.66793,1
53.712,-1.74697,1
