lat,lng,ionity
43.1809,-2.64847,0
42.9211,-1.83501,0
42.1952,-1.67471,0
43.2678,-2.27015,0
38.1037,-1.03205,0
37.2372,-3.49677,0
37.3244,-3.19914,0
36.5059,-4.71182,0
39.1893,-0.499616,0
38.9397,-0.566504,0
39.8066,-0.160264,0
41.506,0.0988657,0
42.8814,-2.6505,0
40.4771,-3.63824,0
36.6678,-4.48045,0
40.4664,-3.80758,0
40.656,-4.08928,0
40.597,-3.96056,0
40.474,-3.89442,0
40.4228,-3.72685,0
40.4807,-3.74775,0
40.5021,-3.64837,0
40.4996,-3.66188,0
40.4277,-3.49966,0
43.5184,-5.70934,0
40.739,-4.27248,0
40.7454,-4.33569,0
40.7687,-4.43198,0
40.6921,-4.58576,0
38.1177,-3.76549,0
39.3179,-3.47065,0
38.9794,-3.38153,0
43.4155,-3.96544,0
43.4022,-3.62819,0
43.0722,-4.08585,0
43.4069,-3.60538,0
43.3541,-3.17203,0
38.0109,-1.16804,0
37.9479,-1.26313,0
40.8201,-4.18608,0
40.4772,-3.4066,0
40.2287,-3.78339,0
40.3897,-3.61612,0
43.4027,-5.57314,0
43.4946,-5.41586,0
43.4692,-5.17673,0
43.3475,-5.90138,0
43.477,-5.2509,0
42.5149,-8.66425,0
41.849,-5.40197,0
41.9835,-7.28016,0
40.8995,-4.57387,0
42.2468,-7.86067,0
42.1558,-8.49752,0
42.2708,-8.20514,0
42.3197,-8.65961,0
41.9341,-7.49971,0
42.5215,-8.66591,0
42.2516,-7.8669,0
42.3044,-8.12364,0
42.0555,-6.56384,0
43.4572,-5.11386,0
43.3827,-5.73529,0
38.9321,-1.83132,0
38.8022,-1.74083,0
38.4984,-1.64513,0
38.3202,-1.48884,0
39.2952,-2.31564,0
39.6282,-3.07564,0
39.7952,-3.20676,0
43.3288,-5.72712,0
39.6833,-2.3898,0
39.8323,-2.49267,0
43.1155,-5.81779,0
42.3358,-3.62014,0
42.8671,-5.88249,0
42.2421,-5.59118,0
42.2503,-5.59368,0
41.1004,-3.59223,0
43.4319,-5.68422,0
36.9891,-3.61062,0
37.1021,-3.64078,0
41.0929,-2.44815,0
41.3184,-2.05577,0
41.6777,-0.93405,0
40.1036,0.130313,0
40.2269,0.201146,0
41.741,2.64459,0
41.5415,0.555196,0
41.4908,0.862682,0
41.729,-1.02538,0
42.3079,-1.98364,0
42.4331,-2.28701,0
38.0946,-3.73916,0
40.2298,-3.74114,0
39.9883,-3.59932,0
42.809,-8.58816,0
42.8118,-8.58216,0
37.8452,-0.798423,0
40.385,-3.90418,0
42.1219,-8.772,0
39.553,-0.483389,0
39.5554,-0.488822,0
36.2156,-5.37864,0
