lat,lng,ionity
43.1809,-2.64847,0
36.1745,-5.46473,0
37.1896,-3.83383,0
40.4807,-3.74775,0
40.3669,-3.67839,0
43.5401,-5.86213,0
41.5136,-5.00537,0
38.4984,-1.64513,0
43.1155,-5.81779,0
40.3957,0.368463,0
38.0946,-3.73916,0
43.4433,-4.88297,0
43.2929,-3.01537,0
37.5615,-3.62555,0
38.9555,-0.626339,0
37.2528,-5.92906,0
37.4205,-5.91271,0
42.0299,-1.63058,0
42.0322,-1.63658,0
41.1712,-2.41526,0
41.0134,-4.67047,0
39.9241,-2.82311,0
37.9999,-1.15465,0
42.367,-4.87965,0
42.0566,-6.6729,0
37.2544,-3.48259,0
40.2355,-3.68967,0
40.5136,-3.31715,0
41.3211,-3.63028,0
40.193,-3.67296,0
36.7475,-4.17193,0
40.2287,0.205534,0
38.8592,-6.36293,0
38.3921,-6.34039,0
36.2957,-5.28781,0
42.6034,-6.37269,0
41.5142,-4.94848,0
42.4471,-2.56471,0
42.3757,-3.91821,0
42.2668,-3.92476,0
42.1367,-3.71418,0
42.1555,-5.63642,0
42.0086,-6.24804,0
38.9872,-0.589819,0
39.8486,-5.63199,0
40.0383,-4.40928,0
40.0252,-4.46016,0
37.8787,-1.36428,0
39.3237,-2.46277,0
42.5344,-6.1514,0
38.1397,-6.27486,0
43.3012,-3.02285,0
42.5354,-4.38087,0
36.7621,-4.48854,0
41.564,2.27318,0
40.2578,-3.36874,0
42.6714,-8.15563,0
42.7871,-4.23731,0
38.037,-4.11333,0
37.5682,-2.59329,0
38.9302,-1.74248,0
41.0177,-2.53824,0
41.5081,0.838437,0
39.1655,-2.87338,0
43.101,-8.34966,0
39.5137,-2.91727,0
39.7428,-3.4878,0
38.8454,-3.39446,0
38.6296,-3.46499,0
37.3059,-1.80342,0
41.5137,-1.30074,0
36.7495,-3.05861,0
39.2495,-2.20199,0
37.0718,-2.05559,0
38.9903,-6.11704,0
37.6392,-4.95657,0
41.6906,-5.80232,0
43.4064,-7.3395,0
43.1791,-7.75794,0
41.5259,0.72493,0
40.7713,-4.39007,0
40.4611,-1.23689,0
40.4561,-1.23292,0
39.4739,-0.619784,0
39.5538,-1.27123,0
42.7036,-2.91686,0
