lat,lng,ionity
40.6336,-4.00223,0
40.6846,-3.09156,0
40.0224,-4.47879,0
38.4571,-0.781754,0
39.4882,-2.15374,0
42.6716,-2.89065,0
42.0322,-1.63658,0
40.4195,-3.88645,0
41.7768,-1.11941,0
37.8693,-4.76407,0
36.5412,-6.16148,0
42.0086,-6.24804,0
40.1793,-4.14342,0
40.162,-4.17012,0
37.237,-5.91089,0
41.3034,1.34614,0
42.0186,-5.85692,0
43.3265,-7.61777,0
42.8106,-7.10433,0
37.8947,-4.73256,0
41.5259,0.72493,0
41.1741,-1.29055,0
41.859,2.76724,1
43.3565,-4.09439,1
36.6924,-6.16025,1
41.6232,-3.68774,1
39.543,-0.451521,1
41.6258,-1.00963,1
41.7894,1.89781,1
38.8169,0.022207,1
42.0077,-5.66326,1
38.143,-3.72285,1
39.633,2.73334,1
41.3132,-2.0022,1
40.2904,-3.69629,1
43.3891,-5.80372,1
39.5387,-2.25457,1
40.753,0.606421,1
39.7917,-5.69539,1
40.5198,-3.65695,1
37.1817,-3.92856,1
37.8229,-0.810341,1
37.554,-2.61374,1
36.1416,-5.45116,1
38.0382,-1.14934,1
42.6235,-6.45312,1
41.1343,1.1683,1
42.3123,-3.70417,1
37.2567,-4.98607,1
36.7525,-2.80537,1
41.516,-4.94311,1
41.664,0.605371,1
36.5808,-4.59589,1
42.2391,-8.70876,1
38.9222,-6.37504,1
41.4433,2.2299,1
40.2983,-3.82131,1
39.4735,-0.419781,1
37.1128,-4.56683,1
39.0063,-3.38304,1
39.1347,-2.03901,1
42.7012,-2.91944,1
