lat,lng,ionity
36.2593,-5.33201,0
36.5059,-4.71182,0
39.6979,-0.272405,0
41.3076,-4.89889,0
39.8323,-2.49267,0
39.2268,-2.18933,0
40.6846,-3.09156,0
42.3079,-1.98364,0
40.0283,-0.0247459,0
41.2848,1.47791,0
39.2258,-5.88358,0
40.086,-3.11423,0
41.18,-4.807,0
41.8907,-3.74105,0
40.162,-4.17012,0
43.5332,-6.68764,0
38.0942,-3.80785,0
37.1594,-5.90976,0
37.7728,-6.17065,0
42.0525,-6.54839,0
39.1621,-2.94817,0
42.0426,-5.75238,0
41.5749,-0.658236,0
38.9531,-6.24148,0
43.398,-4.6585,0
39.4105,-2.58181,0
38.0306,-4.07801,0
42.7399,-2.91612,0
39.698,-0.343369,0
39.9213,-0.568077,0
39.4739,-0.619784,0
43.1824,-5.81129,1
41.6434,0.931306,1
42.5261,-3.3332,1
41.5942,-3.69681,1
38.8246,-3.39686,1
40.4584,-3.61609,1
37.5757,-1.80083,1
42.9649,-7.45761,1
41.3126,-2.00133,1
41.8989,2.77052,1
42.7324,-1.61873,1
41.3116,-2.00274,1
37.3341,-6.78942,1
40.7697,-6.28672,1
42.5295,-3.33187,1
42.9658,-7.45455,1
38.934,-6.34305,1
41.4205,2.00216,1
36.8983,-4.42988,1
