lat,lng,ionity
38.1037,-1.03205,0
38.8318,-0.558309,0
39.4343,-0.534606,0
41.6705,2.47617,0
40.4807,-3.74775,0
40.4893,-3.73976,0
38.2271,-3.62987,0
38.0095,-4.36379,0
40.4503,-3.66251,0
43.5139,-5.81996,0
40.7442,-4.2918,0
40.7687,-4.43198,0
37.9542,-4.46576,0
42.9125,-1.8357,0
38.0025,-1.18297,0
40.7845,-4.21175,0
36.7581,-4.04757,0
43.4692,-5.17673,0
42.3899,-8.64071,0
41.5136,-5.00537,0
42.3075,-8.11802,0
41.9496,-7.34842,0
42.3425,-7.92691,0
38.4938,-1.63305,0
43.4364,-5.00836,0
39.1192,-2.00455,0
42.6171,-6.32745,0
42.3305,-5.6097,0
42.6894,-5.76529,0
42.4984,-5.59978,0
42.0043,-5.66008,0
42.4329,-2.45666,0
41.6777,-0.93405,0
41.5237,-0.453911,0
40.2269,0.201146,0
41.5348,0.474562,0
37.6722,-3.62173,0
42.7365,-8.64097,0
40.1268,-4.21893,0
43.257,-8.25392,0
41.0588,-3.61194,0
37.9791,-1.24109,0
38.0587,-1.54038,0
37.6476,-3.60694,0
42.4498,-6.0806,0
37.1942,-3.85823,0
42.8628,-4.15645,0
39.8271,-0.205949,0
39.3892,-6.35145,0
39.5526,-6.40216,0
38.7263,0.0510058,0
40.1338,-0.777441,0
38.8113,0.0237811,0
38.0814,-0.760661,0
39.4957,-5.84717,0
37.9894,-1.14448,0
38.4062,-0.76959,0
38.8789,-1.2208,0
39.4588,-3.56361,0
37.2689,-5.97068,0
37.3616,-6.20347,0
42.177,-4.05623,0
39.4882,-2.15374,0
42.0299,-1.63058,0
39.9071,-5.21806,0
40.9451,-3.63666,0
37.4173,-6.03174,0
41.4258,-4.96722,0
41.2353,-4.85737,0
37.6049,-1.3312,0
42.3663,-4.97332,0
42.367,-4.87965,0
38.7138,-6.39633,0
40.1385,-6.04222,0
41.5387,-4.89667,0
43.2798,-2.1611,0
39.9653,-6.00188,0
