lat,lng,ionity
42.9211,-1.83501,0
42.7705,-1.62999,0
36.2292,-5.35615,0
37.3162,-3.33177,0
37.4893,-2.84652,0
37.1809,-3.92523,0
37.6116,-1.91162,0
36.5059,-4.71182,0
36.5178,-4.93741,0
38.309,-0.570943,0
39.0856,-0.539593,0
39.8933,-0.129559,0
41.4913,2.09349,0
41.6461,2.42207,0
41.6861,1.26806,0
42.8814,-2.6505,0
40.3972,-3.62744,0
36.6536,-4.48678,0
40.5406,-3.89204,0
40.5424,-3.8932,0
40.4075,-3.7451,0
40.5031,-3.71799,0
40.4893,-3.73976,0
40.5349,-3.61415,0
40.3753,-3.68261,0
40.408,-3.7214,0
39.8367,-3.47797,0
40.3625,-3.73421,0
40.422,-3.83137,0
38.096,-3.80397,0
40.5027,-3.65956,0
43.5184,-5.70934,0
40.739,-4.27248,0
40.7311,-4.1962,0
40.7163,-4.16378,0
40.6921,-4.58576,0
39.354,-3.48843,0
37.9542,-4.46576,0
40.1693,-3.66498,0
43.4391,-3.89651,0
43.3971,-3.81446,0
43.3697,-4.4062,0
43.3436,-4.02754,0
43.0722,-4.08585,0
43.3988,-3.48605,0
43.3541,-3.17203,0
42.9125,-1.8357,0
38.0109,-1.16804,0
43.4977,-5.6726,0
43.5109,-5.60861,0
41.803,-4.58826,0
37.9088,-1.31606,0
40.4772,-3.4066,0
43.4588,-5.49939,0
43.4865,-5.45173,0
43.4946,-5.41586,0
43.4598,-5.12287,0
43.5,-5.41294,0
41.7166,-5.24501,0
42.5983,-8.67427,0
42.0413,-6.99732,0
42.2097,-8.26486,0
40.8201,-4.50583,0
42.3899,-8.64071,0
41.5136,-5.00537,0
42.0131,-7.60236,0
42.2708,-8.20514,0
42.3033,-7.87488,0
42.3197,-8.65961,0
42.2612,-8.67295,0
42.3044,-8.12364,0
41.9149,-7.44865,0
42.6002,-8.67134,0
38.0817,-1.21872,0
38.2354,-1.37393,0
38.3083,-1.47355,0
43.3597,-5.9452,0
43.4364,-5.00836,0
43.3827,-5.73529,0
39.147,-2.05511,0
39.2952,-2.31564,0
39.6282,-3.07564,0
43.3288,-5.72712,0
42.7441,-2.91005,0
39.5974,-2.27984,0
39.8323,-2.49267,0
39.9284,-2.83813,0
40.136,-3.17946,0
39.7893,-2.42837,0
39.3624,-2.20415,0
42.3358,-3.62014,0
42.9122,-5.89351,0
42.6171,-6.32745,0
42.3305,-5.6097,0
38.1492,-0.819945,0
42.7792,-5.78398,0
42.0043,-5.66008,0
41.0016,-3.63797,0
43.4319,-5.68422,0
43.1898,-2.44959,0
36.7494,-3.75727,0
40.6442,-3.14109,0
41.2123,-2.29101,0
41.9159,-4.51004,0
42.4596,-2.42462,0
42.4329,-2.45666,0
41.6777,-0.93405,0
41.5237,-0.453911,0
